threshold,precision,recall,f1_score
0.0028279547,0.16289592760180996,1.0,0.2801556420233463
0.0028602886,0.16363636363636364,1.0,0.28125
0.0036929445,0.1643835616438356,1.0,0.2823529411764706
0.0038597772,0.1651376146788991,1.0,0.2834645669291339
0.003925121,0.16589861751152074,1.0,0.2845849802371542
0.0045210156,0.16666666666666666,1.0,0.2857142857142857
0.0047571114,0.16744186046511628,1.0,0.2868525896414343
0.004874957,0.16822429906542055,1.0,0.288
0.0052437563,0.16901408450704225,1.0,0.2891566265060241
0.0053202356,0.16981132075471697,1.0,0.2903225806451613
0.00569191,0.17061611374407584,1.0,0.29149797570850206
0.0074017914,0.17142857142857143,1.0,0.2926829268292683
0.007923703,0.1722488038277512,1.0,0.2938775510204082
0.009871993,0.16826923076923078,0.9722222222222222,0.2868852459016394
0.010656726,0.1642512077294686,0.9444444444444444,0.27983539094650206
0.012031176,0.1650485436893204,0.9444444444444444,0.2809917355371901
0.012944777,0.16585365853658537,0.9444444444444444,0.2821576763485477
0.0133116925,0.16666666666666666,0.9444444444444444,0.28333333333333327
0.014541059,0.16748768472906403,0.9444444444444444,0.2845188284518828
0.015032813,0.16831683168316833,0.9444444444444444,0.28571428571428575
0.0150418095,0.1691542288557214,0.9444444444444444,0.2869198312236287
0.016432991,0.17,0.9444444444444444,0.288135593220339
0.018013392,0.1708542713567839,0.9444444444444444,0.28936170212765955
0.018141437,0.1717171717171717,0.9444444444444444,0.29059829059829057
0.019227836,0.17258883248730963,0.9444444444444444,0.2918454935622317
0.019606557,0.17346938775510204,0.9444444444444444,0.29310344827586204
0.019992514,0.17435897435897435,0.9444444444444444,0.29437229437229434
0.021581825,0.17525773195876287,0.9444444444444444,0.29565217391304344
0.02187979,0.17616580310880828,0.9444444444444444,0.296943231441048
0.02194354,0.17708333333333334,0.9444444444444444,0.29824561403508776
0.022269048,0.17801047120418848,0.9444444444444444,0.2995594713656387
0.024963114,0.17894736842105263,0.9444444444444444,0.3008849557522124
0.024972549,0.17989417989417988,0.9444444444444444,0.3022222222222223
0.026020404,0.18085106382978725,0.9444444444444444,0.30357142857142855
0.02620361,0.18181818181818182,0.9444444444444444,0.30493273542600896
0.026342684,0.1827956989247312,0.9444444444444444,0.30630630630630634
0.026467755,0.1837837837837838,0.9444444444444444,0.3076923076923077
0.026959967,0.18478260869565216,0.9444444444444444,0.30909090909090914
0.02816266,0.18579234972677597,0.9444444444444444,0.3105022831050228
0.028286608,0.1813186813186813,0.9166666666666666,0.30275229357798167
0.029374132,0.18232044198895028,0.9166666666666666,0.30414746543778803
0.029708996,0.18333333333333332,0.9166666666666666,0.3055555555555556
0.030350437,0.18435754189944134,0.9166666666666666,0.30697674418604654
0.033753816,0.1797752808988764,0.8888888888888888,0.29906542056074764
0.034564402,0.1807909604519774,0.8888888888888888,0.30046948356807507
0.034609307,0.18181818181818182,0.8888888888888888,0.3018867924528302
0.035302132,0.18285714285714286,0.8888888888888888,0.3033175355450237
0.0393318,0.1839080459770115,0.8888888888888888,0.30476190476190473
0.040590707,0.18497109826589594,0.8888888888888888,0.30622009569377995
0.040978707,0.18604651162790697,0.8888888888888888,0.3076923076923077
0.0415784,0.1871345029239766,0.8888888888888888,0.30917874396135264
0.04374896,0.18823529411764706,0.8888888888888888,0.3106796116504854
0.044191454,0.1893491124260355,0.8888888888888888,0.31219512195121946
0.047428705,0.19047619047619047,0.8888888888888888,0.3137254901960784
0.047986124,0.19161676646706588,0.8888888888888888,0.3152709359605912
0.04889874,0.18674698795180722,0.8611111111111112,0.30693069306930687
0.051337168,0.18787878787878787,0.8611111111111112,0.308457711442786
0.05213486,0.18902439024390244,0.8611111111111112,0.31000000000000005
0.053103816,0.1901840490797546,0.8611111111111112,0.31155778894472363
0.05669645,0.19135802469135801,0.8611111111111112,0.3131313131313131
0.058224075,0.19254658385093168,0.8611111111111112,0.3147208121827411
0.060642038,0.1875,0.8333333333333334,0.3061224489795918
0.06427592,0.18238993710691823,0.8055555555555556,0.29743589743589743
0.0643057,0.18354430379746836,0.8055555555555556,0.29896907216494845
0.068010755,0.18471337579617833,0.8055555555555556,0.30051813471502586
0.0692845,0.1858974358974359,0.8055555555555556,0.30208333333333337
0.06934377,0.1870967741935484,0.8055555555555556,0.30366492146596863
0.07366217,0.18831168831168832,0.8055555555555556,0.30526315789473685
0.07513544,0.1895424836601307,0.8055555555555556,0.30687830687830686
0.07844478,0.19078947368421054,0.8055555555555556,0.30851063829787234
0.081698015,0.19205298013245034,0.8055555555555556,0.31016042780748665
0.08212995,0.19333333333333333,0.8055555555555556,0.3118279569892473
0.082374446,0.19463087248322147,0.8055555555555556,0.3135135135135135
0.08291039,0.1891891891891892,0.7777777777777778,0.30434782608695654
0.08417418,0.19047619047619047,0.7777777777777778,0.30601092896174864
0.08429644,0.1917808219178082,0.7777777777777778,0.30769230769230765
0.08601522,0.19310344827586207,0.7777777777777778,0.30939226519337015
0.086903885,0.19444444444444445,0.7777777777777778,0.3111111111111111
0.08735701,0.1958041958041958,0.7777777777777778,0.3128491620111732
0.08921808,0.19718309859154928,0.7777777777777778,0.3146067415730337
0.090968505,0.19858156028368795,0.7777777777777778,0.3163841807909605
0.09115293,0.2,0.7777777777777778,0.3181818181818182
0.091620915,0.2014388489208633,0.7777777777777778,0.32
0.09553398,0.2028985507246377,0.7777777777777778,0.3218390804597701
0.096341625,0.20437956204379562,0.7777777777777778,0.3236994219653179
0.09703797,0.20588235294117646,0.7777777777777778,0.3255813953488372
0.097328804,0.2074074074074074,0.7777777777777778,0.32748538011695905
0.09827269,0.208955223880597,0.7777777777777778,0.32941176470588235
0.09833812,0.21052631578947367,0.7777777777777778,0.3313609467455621
0.09897126,0.21212121212121213,0.7777777777777778,0.3333333333333333
0.09931981,0.21374045801526717,0.7777777777777778,0.33532934131736525
0.10019055,0.2153846153846154,0.7777777777777778,0.3373493975903615
0.10198888,0.21705426356589147,0.7777777777777778,0.3393939393939394
0.10199684,0.21875,0.7777777777777778,0.34146341463414637
0.10823354,0.2204724409448819,0.7777777777777778,0.34355828220858897
0.11843489,0.2222222222222222,0.7777777777777778,0.345679012345679
0.12444392,0.224,0.7777777777777778,0.34782608695652173
0.12644377,0.22580645161290322,0.7777777777777778,0.35000000000000003
0.12774596,0.22764227642276422,0.7777777777777778,0.3522012578616352
0.13115562,0.22950819672131148,0.7777777777777778,0.35443037974683544
0.13168424,0.23140495867768596,0.7777777777777778,0.35668789808917195
0.13269077,0.23333333333333334,0.7777777777777778,0.35897435897435903
0.15054348,0.23529411764705882,0.7777777777777778,0.36129032258064514
0.16140778,0.23728813559322035,0.7777777777777778,0.3636363636363637
0.16265759,0.23931623931623933,0.7777777777777778,0.36601307189542487
0.16275422,0.2413793103448276,0.7777777777777778,0.368421052631579
0.16341558,0.24347826086956523,0.7777777777777778,0.3708609271523179
0.1646837,0.24561403508771928,0.7777777777777778,0.3733333333333333
0.16551818,0.24778761061946902,0.7777777777777778,0.3758389261744966
